;N1E1C1;N1E1C2;N1E1C3;N1E1C4;N1E2C1;N1E2C2;N1E2C3;N1E2C4;N1E3C1;N1E3C2;N1E3C3;N1E3C4;N1E4C1;N1E4C2;N1E4C3;N1E4C4
image;0;0.554220386364585;0.344234627264911;0.0611875136433093;0.0458203937330316;0;0;0;0.0413533686252589;0.55532469494919;0.230195473251029;0;0.128971832085214;0.550302541347318;0;0
image;0;0.893806620424082;0.697740854102901;0;0.204745161096618;0;0;0;0.0755568862985515;0.898963270893006;0.756077303549071;0;0.595941863959134;0.893681142236056;0.714707154938442;0
image;0;0.910357592740173;0.588019355915235;0.0000207725843431839;0.0608292953314142;0;0;0;0.0589515151429022;0.934002509410289;0.891043732059725;0;0.41670739501485;0.934002509410289;0.921360429411903;0
image;0;0;0.00951048951048951;0.000636155440037806;0.0131933113507907;0;0;0;0.010342780828016;0;0;0;0;0;0;0
image;0;0.656182348415723;0;0.0131420551020086;0.0495921001109821;0;0;0;0.0941631599265159;0.6275776488193;0.396663190823775;0;0.72432961687881;0.734639793569984;0.100893475673659;0
image;0;0.549944196428571;0.71398555984261;0.0716292134831461;0.194301860136567;0;0;0;0.120051520924442;0.730575982431039;0.357640719264336;0;0.767351122573819;0.807613210210089;0.21182814449169;0
image;0;0.913422072193026;0.44268566922695;0.11066970082668;0.17101259360793;0;0;0;0.079403766499479;0.905867454622203;0.642795513373598;0;0.835155850792029;0.889531149646757;0.574444903633017;0
image;0;0.742568184198322;0.72546292002844;0.111933053170519;0.220508258118211;0.273864610111397;0.306155415745622;0;0.078489041288864;0.539436117059243;0.536649951177532;0;0.723616101333658;0.838553740035054;0.744601744601745;0
image;0;0.619445056848603;0.452867639377372;0.013053667228323;0.123480530183367;0;0;0;0.114853802970915;0.823638129248504;0;0;0.557073208481659;0.880552077743994;0.573895106764964;0
image;0;0.221824832351148;0.187871450583315;0.00412997325673055;0.00990619744195859;0;0;0;0.0149393772543908;0.248282763953964;0.173521538087126;0;0;0.248282763953964;0;0
image;0;0.892629455763528;0.314442413162706;0.00049715986524351;0.281061302247903;0;0;0;0.120131470389697;0.930778578760456;0.48258766263033;0;0.422907334211682;0.855539589733426;0.512553330054892;0
image;0;0.764977966043795;0.397388561508179;0.128483995942001;0.203384377255454;0;0;0;0.00543676978645899;0.703559410806661;0.514892855011043;0;0.625952067013108;0.79973436929309;0.580540781038283;0
image;0;0.656477419519869;0.506958173431019;0.126996688451539;0.271440710604662;0;0.202105808552766;0;0.0129768685790699;0.676424361493124;0.38481191084486;0;0.428541311927349;0.707236677820507;0.741757124458948;0
image;0;0.776635015469967;0.000317616604996109;0.14690424102678;0.335512412853278;0;0.110149436510169;0;0.1257229751611;0.552060445719923;0.478380410267426;0;0.424684542586751;0.750920005644872;0.713637256625273;0
image;0;0.747249076065396;0.385133157740708;0.0883323291099772;0.250077354144463;0;0;0;0.0970023315861345;0.646069360160594;0;0;0.601701804780229;0.82387098057152;0.684628449169552;0
image;0;0.829389317783963;0.559907492513417;0.121354731942135;0.00667197896943035;0.000294771648093917;0;0;0.120058321832126;0.767006261275602;0.423528356334385;0;0.847822319063065;0.919850950077534;0.597165633303809;0
image;0;0.344928274340039;0.36220621384322;0.0513885434951107;0.316677142258538;0;0;0;0.0202266815659245;0.324481414450787;0.414032803957303;0;0.484861303180672;0.461616999553315;0.34041883168005;0
image;0;0.733818525768185;0.639728112140093;0.114262240607445;0.412368111544821;0.511189176137027;0.491085938826497;0;0.0927883986278278;0.73933942227395;0.742665974077372;0;0.313793165760133;0.704190060164279;0.646947963564025;0
image;0;0.830829715499723;0.702447773924278;0.331173615608702;0.540947604450718;0.605798793827234;0.617921296863845;0;0.509903690651476;0.838214122112427;0.753557074020282;0.0783354360915367;0.53805790745902;0.828379898221663;0.791251202296348;0
image;0;0.565283776120054;0.285947091096746;0.0526737038404428;0.247766035545388;0;0.292246618310135;0;0.12380600370163;0.450164218279762;0.324476622671794;0.0827037213152287;0.613144802304268;0.375569358178054;0.053560362380854;0
image;0;0.843142441475995;0.561376499886801;0.00162247290532333;0.0843410675505772;0;0;0.0196534997587945;0.0814921703521482;0.853120128727309;0.435562769098983;0.352810189721208;0.0624391748288167;0.853426427888085;0;0
image;0;0.540801710315339;0.119657189498027;0.0360130663096222;0.0692115390017134;0.0707875393769689;0.259154130002839;0.0322752321097677;0.0675444424574763;0.617691352916839;0;0.224600962756524;0.0164961435542263;0.757915312407664;0.539278823945002;0
image;0;0.541168116456595;0.339008998584792;0.234767346704377;0.361998318509669;0.054178306329316;0.106827916351726;0.328132101196788;0.198763212006708;0.504989455834076;0.484506561231594;0;0.231426835080607;0.621480324096965;0.173448890481624;0
image;0;0.865466694992178;0.579084777721372;0.0101569105712472;0.0577884619490263;0;0;0.0307894994883502;0.13342804552127;0.883064650527181;0.608316164905518;0.0533728152535028;0.160738340198739;0.904448829766567;0.352087568412823;0
image;0;0.817561100121243;0.419931712923836;0.0066373827128274;0.0939680921262254;0;0;0;0.0610074123899285;0.855567490153956;0.692852589076999;0;0.0697255884468245;0.752871533558684;0.496351809255274;0
